Date,Daily Returns for Mr X's Portfolio,Daily Returns for the S&P500,Daily Returns for Hasbro
2014-09-29,-0.003539755,-0.002546802,-0.005060597
2014-09-30,-0.002988,-0.002785929,-0.000908247
2014-10-01,-0.012504035,-0.013248561,-0.00272731
2014-10-02,-0.000756324,5.14E-06,0.007474924
2014-10-03,0.012449255,0.011165509,0.002895415
2014-10-06,-0.000572503,-0.00156516,-0.005774092
2014-10-07,-0.015379026,-0.015126053,-0.006170606
2014-10-08,0.016383882,0.01746165,0.013878793
2014-10-09,-0.02092382,-0.020661415,-0.012067764
2014-10-10,-0.006773584,-0.011451012,0.002734769
2014-10-13,-0.016404045,-0.01646793,-0.006181825
2014-10-14,-0.000350649,0.001578865,0.003110177
2014-10-15,-0.010154218,-0.008100315,-0.009119113
2014-10-16,0.00105678,0.000144978,-0.002208766
2014-10-17,0.013029735,0.012884107,-0.006640852
2014-10-20,0.006239843,0.009142657,0.049396464
2014-10-21,0.016173678,0.019574487,0.021412205
2014-10-22,-0.007221963,-0.00729933,-0.014033292
2014-10-23,0.010576162,0.012303377,0.0100158
2014-10-24,0.00687003,0.00705345,0.002261688
2014-10-27,-0.002336496,-0.001501568,-0.005207429
2014-10-28,0.010090291,0.011939073,0.007328531
2014-10-29,-0.000402595,-0.001385355,-0.001905432
2014-10-30,0.008474771,0.006230124,-0.000174828
2014-10-31,0.010435767,0.011731394,0.006120997
2014-11-03,-0.001434274,-0.000118922,0.001912062
2014-11-04,-0.002120514,-0.002829842,-0.004857729
2014-11-05,0.007298993,0.005700497,0.0085425
2014-11-06,0.004042978,0.003775513,0.004667262
2014-11-07,0.000440802,0.000349586,-0.002408796
2014-11-10,0.003371243,0.003120185,-0.015522562
2014-11-11,-3.08E-05,0.000696694,-0.00718296
2014-11-12,-0.001550077,-0.000701117,0.014116866
2014-11-13,0.000101728,0.000529845,-0.043326973
2014-11-14,-0.000340484,0.00024027,-0.017460892
2014-11-17,0.0013624,0.000735359,0.043502385
2014-11-18,0.004274373,0.005133984,-0.004434986
2014-11-19,0.000243365,-0.001501159,0.000178234
2014-11-20,2.41E-06,0.001967096,0.006769943
2014-11-21,0.006608956,0.005236877,0.003185278
2014-11-24,0.000516266,0.002864023,-0.000529164
2014-11-25,-0.002066392,-0.00115003,0.015531262
2014-11-26,0.002085865,0.002805982,0.010427489
2014-11-28,-0.004471205,-0.002542427,0.018231877
2014-12-01,-0.004297865,-0.006829363,-0.02939192
2014-12-02,0.007062914,0.006384461,0
2014-12-03,0.00292127,0.003764743,-0.006613242
2014-12-04,-0.001070408,-0.001161896,-0.00578139
2014-12-05,0.003022126,0.001665216,0.008458139
2014-12-08,-0.006717384,-0.007256565,-0.011881887
2014-12-09,-0.006256731,-0.000237824,-0.003183025
2014-12-10,-0.013060181,-0.016350968,-0.014546738
2014-12-11,0.004367564,0.004535689,0.013501341
2014-12-12,-0.018596976,-0.016213587,-0.004262836
2014-12-15,-0.005524248,-0.006342587,0.002497311
2014-12-16,-0.006105799,-0.008489023,0.012455538
2014-12-17,0.019955262,0.020352416,0.008260051
2014-12-18,0.02537522,0.024015204,0.017256445
2014-12-19,0.004324037,0.004570049,-0.06391363
2014-12-22,0.004579831,0.003810464,-0.005491477
2014-12-23,0.0026693,0.001746362,0.016381349
2014-12-24,-0.000653636,-0.000139297,0.000543269
2014-12-29,0.000348492,0.000861774,0.006481816
2014-12-30,-0.003494438,-0.004888604,-0.015384622
2014-12-31,-0.009883713,-0.010310859,-0.000908416
